date,impressions,engagement_rate,CTR,future_engagement_rate,future_impressions,future_ctr
2024-01-01,10000,0.05,0.02,0.06,11000,0.022
2024-01-02,15000,0.07,0.03,0.08,16000,0.032
2024-01-03,20000,0.06,0.04,0.07,21000,0.041
2024-01-04,12000,0.04,0.015,0.05,13000,0.017
2024-01-05,25000,0.08,0.035,0.09,26500,0.038
2024-01-06,18000,0.06,0.025,0.07,19000,0.029
2024-01-07,22000,0.09,0.045,0.1,23000,0.048
2024-01-08,16000,0.05,0.02,0.06,17000,0.024
2024-01-09,14000,0.045,0.018,0.055,15000,0.021
2024-01-10,20000,0.07,0.032,0.08,21500,0.035
2024-01-11,24000,0.08,0.04,0.09,25500,0.043
2024-01-12,13000,0.04,0.02,0.05,14000,0.022
2024-01-13,17000,0.06,0.03,0.07,18000,0.033
2024-01-14,19000,0.065,0.035,0.075,20500,0.038
2024-01-15,21000,0.07,0.037,0.08,22500,0.041
2024-01-16,11500,0.035,0.015,0.045,12500,0.017
2024-01-17,16500,0.06,0.025,0.07,17500,0.029
2024-01-18,19500,0.065,0.03,0.075,21000,0.033
2024-01-19,22500,0.08,0.04,0.09,24000,0.043
2024-01-20,14500,0.05,0.022,0.06,15500,0.025
2024-01-21,18500,0.07,0.035,0.08,20000,0.038
2024-01-22,15500,0.045,0.02,0.055,16500,0.023
2024-01-23,21000,0.075,0.035,0.085,22500,0.038
2024-01-24,24500,0.085,0.045,0.095,26000,0.048
2024-01-25,12500,0.04,0.017,0.05,13500,0.019
2024-01-26,17500,0.065,0.03,0.075,19000,0.033
2024-01-27,20000,0.07,0.035,0.08,21500,0.038
2024-01-28,15000,0.05,0.02,0.06,16000,0.022
2024-01-29,14000,0.045,0.018,0.055,15000,0.021
2024-01-30,21000,0.075,0.038,0.085,22500,0.041
2024-01-31,26000,0.09,0.05,0.1,27500,0.053
2024-02-01,12000,0.035,0.015,0.045,13000,0.017
2024-02-02,17000,0.065,0.03,0.075,18500,0.033
2024-02-03,19500,0.07,0.035,0.08,21000,0.038
2024-02-04,23000,0.08,0.04,0.09,24500,0.043
2024-02-05,13000,0.04,0.02,0.05,14000,0.022
2024-02-06,18000,0.06,0.03,0.07,19000,0.033
2024-02-07,20500,0.075,0.038,0.085,22000,0.041
2024-02-08,15500,0.05,0.02,0.06,16500,0.023
2024-02-09,14500,0.045,0.018,0.055,15500,0.021
2024-02-10,21500,0.08,0.04,0.09,23000,0.043
2024-02-11,25000,0.09,0.05,0.1,26500,0.053
2024-02-12,13500,0.045,0.018,0.055,14500,0.021
2024-02-13,18500,0.065,0.03,0.075,20000,0.033
2024-02-14,16000,0.05,0.022,0.06,17000,0.025
2024-02-15,15000,0.045,0.018,0.055,16000,0.021
2024-02-16,21500,0.08,0.038,0.09,23000,0.041
2024-02-17,24000,0.085,0.045,0.095,25500,0.048
2024-02-18,13000,0.04,0.017,0.05,14000,0.019
2024-02-19,17500,0.065,0.03,0.075,19000,0.033
2024-02-20,20000,0.07,0.035,0.08,21500,0.038
2024-02-21,12000,0.035,0.015,0.045,13000,0.017
2024-02-22,17000,0.06,0.025,0.07,18500,0.029
2024-02-23,19500,0.07,0.032,0.08,21000,0.035
2024-02-24,22500,0.08,0.04,0.09,24000,0.043
2024-02-25,14500,0.045,0.018,0.055,15500,0.021
2024-02-26,18500,0.065,0.035,0.075,20000,0.038
2024-02-27,16000,0.05,0.022,0.06,17000,0.025
2024-02-28,15000,0.045,0.018,0.055,16000,0.021
2024-02-29,21500,0.075,0.038,0.085,23000,0.041
2024-03-01,26000,0.09,0.05,0.1,27500,0.053
2024-03-02,13500,0.045,0.018,0.055,14500,0.021
2024-03-03,18500,0.065,0.03,0.075,20000,0.033
2024-03-04,16000,0.05,0.022,0.06,17000,0.025
2024-03-05,15000,0.045,0.018,0.055,16000,0.021
2024-03-06,21500,0.075,0.038,0.085,23000,0.041
2024-03-07,24000,0.085,0.045,0.095,25500,0.048
2024-03-08,13000,0.04,0.017,0.05,14000,0.
